时间,粉丝数,上涨数量(距上次),上涨率(距上次),上涨数量(距第一次),上涨率(距第一次)
Sun Jan 26 2020 11:44:30 GMT+0800 (中国标准时间),2841481,460,0.0001618874101216936,2332011,0.8207026547071756
Sun Jan 26 2020 11:34:30 GMT+0800 (中国标准时间),2841021,440,0.0001548738992073624,2331551,0.8206736240246024
Sun Jan 26 2020 11:24:30 GMT+0800 (中国标准时间),2840581,481,0.00016933155576271192,2331111,0.8206458467475491
Sun Jan 26 2020 11:14:29 GMT+0800 (中国标准时间),2840100,458,0.00016126192739692266,2330630,0.8206154712862224
Sun Jan 26 2020 11:04:29 GMT+0800 (中国标准时间),2839642,429,0.0001510753820375949,2330172,0.8205865387256562
Sun Jan 26 2020 10:54:29 GMT+0800 (中国标准时间),2839213,455,0.00016025567648499778,2329743,0.820559429672941
Sun Jan 26 2020 10:44:28 GMT+0800 (中国标准时间),2838758,354,0.00012470242267921395,2329288,0.8205306686938443
Sun Jan 26 2020 10:34:28 GMT+0800 (中国标准时间),2838404,368,0.00012965032461904647,2328934,0.820508285642213
Sun Jan 26 2020 10:24:27 GMT+0800 (中国标准时间),2838036,375,0.00013213363044020584,2328566,0.8204850114656755
Sun Jan 26 2020 10:14:27 GMT+0800 (中国标准时间),2837661,337,0.00011875978138332944,2328191,0.8204612883639025
Sun Jan 26 2020 10:04:27 GMT+0800 (中国标准时间),2837324,303,0.00010679076481924518,2327854,0.8204399638532646
Sun Jan 26 2020 09:54:27 GMT+0800 (中国标准时间),2837021,265,0.00009340783871532851,2327551,0.8204207864517041
Sun Jan 26 2020 09:44:26 GMT+0800 (中国标准时间),2836756,287,0.00010117190198945556,2327286,0.820404010778509
Sun Jan 26 2020 09:34:25 GMT+0800 (中国标准时间),2836469,257,0.0000906056085929372,2326999,0.8203858388722034
Sun Jan 26 2020 09:24:25 GMT+0800 (中国标准时间),2836212,264,0.00009308189937846677,2326742,0.8203695633471687
Sun Jan 26 2020 09:14:25 GMT+0800 (中国标准时间),2835948,243,0.00008568563316393672,2326478,0.8203528414484328
Sun Jan 26 2020 09:04:24 GMT+0800 (中国标准时间),2835705,238,0.00008392974586566657,2326235,0.8203374469488187
Sun Jan 26 2020 08:54:24 GMT+0800 (中国标准时间),2835467,188,0.00006630301110892844,2325997,0.820322366650714
Sun Jan 26 2020 08:44:24 GMT+0800 (中国标准时间),2835279,194,0.00006842360134575821,2325809,0.8203104526926627
Sun Jan 26 2020 08:34:23 GMT+0800 (中国标准时间),2835085,193,0.00006807556034475157,2325615,0.8202981568453855
Sun Jan 26 2020 08:24:23 GMT+0800 (中国标准时间),2834892,151,0.000053264815731957334,2325422,0.8202859227088721
Sun Jan 26 2020 08:14:22 GMT+0800 (中国标准时间),2834741,116,0.00004092084603143638,2325271,0.8202763497617596
Sun Jan 26 2020 08:04:22 GMT+0800 (中国标准时间),2834625,141,0.00004974202936896415,2325155,0.8202689950169776
Sun Jan 26 2020 07:52:15 GMT+0800 (中国标准时间),2834484,119,0.00004198294998313626,2325014,0.8202600543873241
Sun Jan 26 2020 07:42:14 GMT+0800 (中国标准时间),2834365,92,0.00003245876942454483,2324895,0.8202525080573603
Sun Jan 26 2020 07:32:14 GMT+0800 (中国标准时间),2834273,89,0.00003140135054033257,2324803,0.8202466734855817
Sun Jan 26 2020 07:22:13 GMT+0800 (中国标准时间),2834184,63,0.00002222862030129307,2324714,0.8202410288111146
Sun Jan 26 2020 07:12:13 GMT+0800 (中国标准时间),2834121,71,0.00002505185911257847,2324651,0.8202370329283754
Sun Jan 26 2020 07:02:13 GMT+0800 (中国标准时间),2834050,48,0.000016936892433090455,2324580,0.8202325294190294
Sun Jan 26 2020 06:52:12 GMT+0800 (中国标准时间),2834002,41,0.00001446717398223431,2324532,0.8202294846651484
Sun Jan 26 2020 06:42:12 GMT+0800 (中国标准时间),2833961,44,0.000015525972305194038,2324491,0.8202268838561999
Sun Jan 26 2020 06:32:12 GMT+0800 (中国标准时间),2833917,41,0.000014467607908065057,2324447,0.8202240926604414
Sun Jan 26 2020 06:22:12 GMT+0800 (中国标准时间),2833876,45,0.000015879311585969182,2324406,0.8202214916954729
Sun Jan 26 2020 06:12:11 GMT+0800 (中国标准时间),2833831,38,0.000013409409382563746,2324361,0.8202186368911908
Sun Jan 26 2020 06:02:11 GMT+0800 (中国标准时间),2833793,48,0.00001693842845966519,2324323,0.8202162260969662
Sun Jan 26 2020 05:52:11 GMT+0800 (中国标准时间),2833745,46,0.000016232935567596945,2324275,0.820213180790791
Sun Jan 26 2020 05:42:10 GMT+0800 (中国标准时间),2833699,74,0.000026114276780984855,2324229,0.8202102622755628
Sun Jan 26 2020 05:32:10 GMT+0800 (中国标准时间),2833625,40,0.000014116193921213993,2324155,0.8202055670739776
Sun Jan 26 2020 05:22:10 GMT+0800 (中国标准时间),2833585,61,0.00002152749961621056,2324115,0.8202030290250689
Sun Jan 26 2020 05:12:09 GMT+0800 (中国标准时间),2833524,52,0.00001835170621459356,2324054,0.8201991583625196
Sun Jan 26 2020 05:02:09 GMT+0800 (中国标准时间),2833472,92,0.00003246899916427619,2324002,0.8201958586497414
Sun Jan 26 2020 04:52:09 GMT+0800 (中国标准时间),2833380,106,0.000037411148522259634,2323910,0.820190020399664
Sun Jan 26 2020 04:42:08 GMT+0800 (中国标准时间),2833274,97,0.00003423601105999632,2323804,0.820183293250141
Sun Jan 26 2020 04:32:08 GMT+0800 (中国标准时间),2833177,132,0.00004659080601035516,2323707,0.8201771368326087
Sun Jan 26 2020 04:22:08 GMT+0800 (中国标准时间),2833045,116,0.000040945343261402486,2323575,0.8201687583501145
Sun Jan 26 2020 04:12:07 GMT+0800 (中国标准时间),2832929,124,0.00004377095225471588,2323459,0.8201613947966927
Sun Jan 26 2020 04:02:07 GMT+0800 (中国标准时间),2832805,121,0.00004271384722915979,2323335,0.8201535227451237
Sun Jan 26 2020 03:52:07 GMT+0800 (中国标准时间),2832684,133,0.00004695193674973982,2323214,0.8201458404820304
Sun Jan 26 2020 03:42:06 GMT+0800 (中国标准时间),2832551,170,0.00006001657163454427,2323081,0.8201373955844043
Sun Jan 26 2020 03:32:06 GMT+0800 (中国标准时间),2832381,124,0.0000437794209183016,2322911,0.82012660019962
Sun Jan 26 2020 03:22:06 GMT+0800 (中国标准时间),2832257,152,0.000053667446139245135,2322787,0.8201187251015709
Sun Jan 26 2020 03:12:06 GMT+0800 (中国标准时间),2832105,207,0.00007309051041539774,2322635,0.820109070814818
Sun Jan 26 2020 03:02:05 GMT+0800 (中国标准时间),2831898,252,0.00008898625586091025,2322428,0.8200959215338971
Sun Jan 26 2020 02:52:05 GMT+0800 (中国标准时间),2831646,255,0.00009005362958505407,2322176,0.8200799111188334
Sun Jan 26 2020 02:42:04 GMT+0800 (中国标准时间),2831391,288,0.00010171678867383558,2321921,0.8200637072025728
Sun Jan 26 2020 02:32:04 GMT+0800 (中国标准时间),2831103,333,0.0001176220010363452,2321633,0.8200454027988384
Sun Jan 26 2020 02:22:04 GMT+0800 (中国标准时间),2830770,373,0.00013176626854177485,2321300,0.820024233689067
Sun Jan 26 2020 02:12:04 GMT+0800 (中国标准时间),2830397,430,0.0001519221508502164,2320927,0.8200005158286983
Sun Jan 26 2020 02:02:03 GMT+0800 (中国标准时间),2829967,436,0.00015406540076262374,2320497,0.8199731657648305
Sun Jan 26 2020 01:52:03 GMT+0800 (中国标准时间),2829531,407,0.00014384009222729845,2320061,0.819945425584664
Sun Jan 26 2020 01:42:03 GMT+0800 (中国标准时间),2829124,364,0.00012866173416223537,2319654,0.8199195227922141
Sun Jan 26 2020 01:32:02 GMT+0800 (中国标准时间),2828760,501,0.00017710940482755695,2319290,0.8198963503443205
Sun Jan 26 2020 01:22:02 GMT+0800 (中国标准时间),2828259,595,0.00021037677242430767,2318789,0.8198644466436773
Sun Jan 26 2020 01:12:02 GMT+0800 (中国标准时间),2827664,630,0.0002227987483661425,2318194,0.8198265423331768
Sun Jan 26 2020 01:02:01 GMT+0800 (中国标准时间),2827034,554,0.00019596509981839624,2317564,0.8197863909666456
Sun Jan 26 2020 00:52:01 GMT+0800 (中国标准时间),2826480,585,0.00020697121508024115,2317010,0.8197510684667856
Sun Jan 26 2020 00:42:01 GMT+0800 (中国标准时间),2825895,620,0.0002193995176749313,2316425,0.8197137544034722
Sun Jan 26 2020 00:32:00 GMT+0800 (中国标准时间),2825275,606,0.00021449239454566368,2315805,0.819674191007955
Sun Jan 26 2020 00:22:00 GMT+0800 (中国标准时间),2824669,664,0.00023507179071246932,2315199,0.8196355041953588
Sun Jan 26 2020 00:12:00 GMT+0800 (中国标准时间),2824005,647,0.0002291072430820767,2314535,0.8195930956212896
Sun Jan 26 2020 00:01:59 GMT+0800 (中国标准时间),2823358,602,0.00021322127764173017,2313888,0.8195517536210427
Sat Jan 25 2020 23:51:59 GMT+0800 (中国标准时间),2822756,620,0.00021964349734798191,2313286,0.8195132700098768
Sat Jan 25 2020 23:41:59 GMT+0800 (中国标准时间),2822136,690,0.0002444956586075228,2312666,0.8194736185640947
Sat Jan 25 2020 23:31:58 GMT+0800 (中国标准时间),2821446,823,0.00029169440067256295,2311976,0.8194294698534014
Sat Jan 25 2020 23:21:58 GMT+0800 (中国标准时间),2820623,791,0.0002804344997541323,2311153,0.8193767830723921
Sat Jan 25 2020 23:11:58 GMT+0800 (中国标准时间),2819832,605,0.00021455178890089906,2310362,0.8193261158820809
Sat Jan 25 2020 23:01:57 GMT+0800 (中国标准时间),2819227,569,0.00020182837352224564,2309757,0.8192873436583857
Sat Jan 25 2020 22:51:57 GMT+0800 (中国标准时间),2818658,611,0.00021676982450513684,2309188,0.819250863354121
Sat Jan 25 2020 22:41:56 GMT+0800 (中国标准时间),2818047,573,0.0002033323078004022,2308577,0.8192116739003998
Sat Jan 25 2020 22:31:56 GMT+0800 (中国标准时间),2817474,566,0.00020088916525937774,2308004,0.819174906316793
Sat Jan 25 2020 22:21:56 GMT+0800 (中国标准时间),2816908,620,0.00022009948496720517,2307438,0.8191385732157387
Sat Jan 25 2020 22:11:55 GMT+0800 (中国标准时间),2816288,603,0.00021411162494744856,2306818,0.8190987569453124
Sat Jan 25 2020 22:01:55 GMT+0800 (中国标准时间),2815685,597,0.0002120265583685675,2306215,0.8190600155912326
Sat Jan 25 2020 21:51:53 GMT+0800 (中国标准时间),2815088,541,0.00019217871697083715,2305618,0.8190216433731379
Sat Jan 25 2020 21:41:53 GMT+0800 (中国标准时间),2814547,585,0.0002078487230804815,2305077,0.8189868564994651
Sat Jan 25 2020 21:31:53 GMT+0800 (中国标准时间),2813962,511,0.00018159449203649516,2304492,0.8189492253271367
Sat Jan 25 2020 21:21:52 GMT+0800 (中国标准时间),2813451,585,0.0002079296920401315,2303981,0.8189163415321611
Sat Jan 25 2020 21:11:52 GMT+0800 (中国标准时间),2812866,499,0.00017739913668123544,2303396,0.8188786810320862
Sat Jan 25 2020 21:01:51 GMT+0800 (中国标准时间),2812367,544,0.0001934313693767563,2302897,0.8188465445654852
Sat Jan 25 2020 20:51:51 GMT+0800 (中国标准时间),2811823,477,0.00016964083443374637,2302353,0.8188114970252395
Sat Jan 25 2020 20:41:49 GMT+0800 (中国标准时间),2811346,516,0.00018354197597876605,2301876,0.8187807548412753
Sat Jan 25 2020 20:31:49 GMT+0800 (中国标准时间),2810830,479,0.00017041229814681073,2301360,0.818747487396961
Sat Jan 25 2020 20:21:49 GMT+0800 (中国标准时间),2810351,484,0.00017222048064458853,2300881,0.8187165944752097
Sat Jan 25 2020 20:11:48 GMT+0800 (中国标准时间),2809867,437,0.00015552337530566393,2300397,0.8186853683822045
Sat Jan 25 2020 20:01:48 GMT+0800 (中国标准时间),2809430,483,0.00017192099465016035,2299960,0.8186571653324696
Sat Jan 25 2020 19:51:48 GMT+0800 (中国标准时间),2808947,477,0.00016981452480235477,2299477,0.8186259833311201
Sat Jan 25 2020 19:41:47 GMT+0800 (中国标准时间),2808470,487,0.00017340402425519946,2299000,0.8185951781575022
Sat Jan 25 2020 19:31:47 GMT+0800 (中国标准时间),2807983,444,0.00015812061540258613,2298513,0.8185637163757757
Sat Jan 25 2020 19:21:47 GMT+0800 (中国标准时间),2807539,456,0.00016241982747167537,2298069,0.818535023021942
Sat Jan 25 2020 19:11:46 GMT+0800 (中国标准时间),2807083,413,0.0001471278191631669,2297613,0.818505544723829
Sat Jan 25 2020 19:01:46 GMT+0800 (中国标准时间),2806670,482,0.000171733762786505,2297200,0.8184788379111189
Sat Jan 25 2020 18:51:45 GMT+0800 (中国标准时间),2806188,407,0.00014503661194474498,2296718,0.8184476592444982
Sat Jan 25 2020 18:41:44 GMT+0800 (中国标准时间),2805781,447,0.00015931393077364198,2296311,0.8184213236884846
Sat Jan 25 2020 18:31:44 GMT+0800 (中国标准时间),2805334,390,0.00013902087951024727,2295864,0.818392391066447
Sat Jan 25 2020 18:21:43 GMT+0800 (中国标准时间),2804944,380,0.00013547507543822622,2295474,0.8183671403065444
Sat Jan 25 2020 18:11:43 GMT+0800 (中国标准时间),2804564,396,0.00014119841800721967,2295094,0.8183425302471258
Sat Jan 25 2020 18:01:43 GMT+0800 (中国标准时间),2804168,385,0.00013729562565438304,2294698,0.8183168768775623
Sat Jan 25 2020 17:51:42 GMT+0800 (中国标准时间),2803783,415,0.00014801430781198117,2294313,0.818291929154289
